0.00,9.00
1.00,0.00
2.00,9.00
3.00,5.00
4.00,8.00
5.00,3.00
6.00,1.00
7.00,3.00
8.00,8.00
9.00,9.00
10.00,2.00
11.00,0.00
12.00,8.00
13.00,9.00
14.00,8.00
15.00,3.00
16.00,9.00
17.00,9.00
18.00,7.00
19.00,1.00
20.00,6.00
21.00,1.00
22.00,2.00
23.00,7.00
24.00,9.00
25.00,8.00
26.00,3.00
27.00,1.00
28.00,8.00
29.00,2.00
30.00,9.00
31.00,8.00
32.00,8.00
33.00,9.00
34.00,8.00
35.00,1.00
36.00,9.00
37.00,9.00
38.00,1.00
39.00,1.00
40.00,3.00
41.00,7.00
42.00,2.00
43.00,4.00
44.00,9.00
45.00,0.00
46.00,3.00
47.00,8.00
48.00,5.00
49.00,1.00
50.00,4.00
51.00,0.00
52.00,5.00
53.00,9.00
54.00,0.00
55.00,1.00
56.00,8.00
57.00,5.00
58.00,9.00
59.00,1.00
60.00,1.00
61.00,5.00
62.00,0.00
63.00,0.00
64.00,2.00
65.00,0.00
66.00,3.00
67.00,4.00
68.00,0.00
69.00,4.00
70.00,3.00
71.00,0.00
72.00,1.00
73.00,9.00
74.00,5.00
75.00,8.00
76.00,4.00
77.00,1.00
78.00,4.00
79.00,4.00
80.00,7.00
81.00,1.00
82.00,8.00
83.00,5.00
84.00,0.00
85.00,8.00
86.00,8.00
87.00,9.00
88.00,7.00
89.00,4.00
90.00,8.00
91.00,4.00
92.00,1.00
93.00,1.00
94.00,5.00
95.00,1.00
96.00,9.00
97.00,8.00
98.00,0.00
99.00,0.00
100.00,4.00
101.00,8.00
102.00,8.00
103.00,2.00
104.00,5.00
105.00,5.00
106.00,8.00
107.00,5.00
108.00,9.00
109.00,4.00
110.00,1.00
111.00,9.00
112.00,5.00
113.00,5.00
114.00,8.00
115.00,4.00
116.00,8.00
117.00,4.00
118.00,8.00
119.00,9.00
120.00,8.00
121.00,5.00
122.00,5.00
123.00,9.00
124.00,1.00
125.00,1.00
126.00,2.00
127.00,9.00
128.00,0.00
129.00,8.00
130.00,1.00
131.00,1.00
132.00,8.00
133.00,1.00
134.00,8.00
135.00,1.00
136.00,4.00
137.00,2.00
138.00,8.00
139.00,8.00
140.00,5.00
141.00,0.00
142.00,1.00
143.00,9.00
144.00,4.00
145.00,8.00
146.00,9.00
147.00,9.00
148.00,5.00
149.00,1.00
150.00,1.00
151.00,5.00
152.00,9.00
153.00,0.00
154.00,5.00
155.00,8.00
156.00,1.00
157.00,5.00
158.00,5.00
159.00,3.00
160.00,8.00
161.00,8.00
162.00,0.00
163.00,1.00
164.00,1.00
165.00,1.00
166.00,6.00
167.00,1.00
168.00,9.00
169.00,8.00
170.00,5.00
171.00,9.00
172.00,5.00
173.00,8.00
174.00,9.00
175.00,1.00
176.00,1.00
177.00,0.00
178.00,8.00
179.00,5.00
180.00,6.00
181.00,1.00
182.00,4.00
183.00,9.00
184.00,4.00
185.00,6.00
186.00,2.00
187.00,4.00
188.00,8.00
189.00,3.00
190.00,1.00
191.00,9.00
192.00,1.00
193.00,9.00
194.00,2.00
195.00,7.00
196.00,9.00
197.00,7.00
198.00,5.00
199.00,9.00
200.00,5.00
201.00,0.00
202.00,9.00
203.00,0.00
204.00,9.00
205.00,8.00
206.00,8.00
207.00,9.00
208.00,5.00
209.00,0.00
210.00,4.00
211.00,8.00
212.00,0.00
213.00,0.00
214.00,9.00
215.00,8.00
216.00,8.00
217.00,1.00
218.00,1.00
219.00,9.00
220.00,8.00
221.00,1.00
222.00,9.00
223.00,4.00
224.00,8.00
225.00,3.00
226.00,2.00
227.00,5.00
228.00,0.00
229.00,1.00
230.00,9.00
